ACC_X,ACC_Y,ACC_Z,MAG_X,MAG_Y,MAG_Z, GYRO_Y,GYRO_X,GYRO_Z,COUNT
-11.990407,0.000000,899.280518,222.222229,-360.000000,-415.000000,-1.750087,0.000000,-0.490025,0
-71.942444,0.000000,959.232544,224.444443,-346.666656,-415.000000,-1.190060,-0.420021,0.000000,1
-35.971222,-11.990407,911.270935,222.222229,-355.555542,-410.000000,-1.820091,-0.140007,-0.980049,2
-47.961628,23.980814,899.280518,224.444443,-355.555542,-415.000000,-1.540077,-0.280014,-0.490025,3
-47.961628,23.980814,887.290100,222.222229,-348.888885,-415.000000,-1.470073,-0.350018,0.280014,4
-47.961628,11.990407,911.270935,224.444443,-351.111115,-415.000000,-1.960098,-0.490025,-0.770038,5
-71.942444,0.000000,863.309326,220.000000,-353.333344,-410.000000,-1.890095,-0.910046,-0.280014,6
-59.952034,11.990407,851.318909,220.000000,-348.888885,-417.500000,-1.470073,-0.420021,0.000000,7
0.000000,23.980814,887.290100,220.000000,-355.555542,-412.500000,-2.520126,-0.490025,-0.210010,8
-23.980814,23.980814,875.299744,224.444443,-348.888885,-415.000000,-2.870144,-0.840042,-0.140007,9
-23.980814,23.980814,887.290100,220.000000,-355.555542,-412.500000,-3.150157,-0.630032,-0.070004,10
-47.961628,11.990407,887.290100,226.666672,-346.666656,-415.000000,-2.240112,-0.490025,-0.350018,11
0.000000,0.000000,863.309326,222.222229,-351.111115,-412.500000,-2.170109,-1.190060,-1.330067,12
-11.990407,0.000000,875.299744,222.222229,-351.111115,-415.000000,-2.450123,-0.840042,-1.330067,13
-23.980814,0.000000,839.328491,220.000000,-357.777771,-407.500000,-2.450123,-0.700035,-1.190060,14
-35.971222,0.000000,887.290100,222.222229,-348.888885,-420.000000,-2.590130,0.140007,-0.980049,15
-47.961628,0.000000,935.251770,222.222229,-355.555542,-412.500000,-2.240112,0.070004,-0.700035,16
-47.961628,0.000000,911.270935,226.666672,-346.666656,-417.500000,-1.680084,0.210010,-1.260063,17
-47.961628,23.980814,887.290100,220.000000,-351.111115,-410.000000,-1.610080,-0.350018,-0.560028,18
-47.961628,23.980814,899.280518,224.444443,-348.888885,-417.500000,-1.330067,0.420021,-1.050053,19
0.000000,0.000000,887.290100,222.222229,-355.555542,-410.000000,-0.980049,0.140007,-0.210010,20
-35.971222,11.990407,923.261353,224.444443,-353.333344,-415.000000,-0.840042,0.350018,0.070004,21
0.000000,23.980814,887.290100,224.444443,-351.111115,-415.000000,-0.490025,-0.140007,0.070004,22
-11.990407,11.990407,875.299744,224.444443,-346.666656,-417.500000,-0.560028,0.000000,-0.140007,23
-23.980814,0.000000,839.328491,222.222229,-357.777771,-412.500000,-0.350018,0.280014,-0.840042,24
-35.971222,23.980814,875.299744,224.444443,-351.111115,-412.500000,-0.210010,-0.070004,-1.050053,25
-47.961628,0.000000,863.309326,217.777771,-353.333344,-415.000000,-0.140007,0.140007,-1.120056,26
-23.980814,0.000000,863.309326,224.444443,-348.888885,-417.500000,-0.420021,0.210010,-0.560028,27
23.980814,0.000000,911.270935,222.222229,-355.555542,-405.000000,-0.560028,0.420021,-0.910046,28
-35.971222,11.990407,899.280518,224.444443,-353.333344,-417.500000,-0.840042,0.070004,-0.280014,29
-47.961628,23.980814,863.309326,224.444443,-351.111115,-415.000000,-1.400070,-0.420021,-1.400070,30
-11.990407,11.990407,911.270935,224.444443,-348.888885,-412.500000,-1.190060,-0.560028,-1.120056,31
-47.961628,0.000000,935.251770,222.222229,-355.555542,-415.000000,-0.770038,-0.210010,-0.630032,32
-47.961628,11.990407,911.270935,224.444443,-348.888885,-415.000000,-0.630032,0.140007,-1.260063,33
-47.961628,0.000000,887.290100,222.222229,-357.777771,-412.500000,-0.350018,-0.420021,-0.770038,34
-35.971222,23.980814,923.261353,224.444443,-346.666656,-415.000000,-0.770038,-0.280014,-1.120056,35
-95.923256,-23.980814,935.251770,222.222229,-353.333344,-407.500000,-0.910046,-0.280014,-1.190060,36
-59.952034,0.000000,887.290100,224.444443,-348.888885,-415.000000,-1.120056,-0.560028,-1.260063,37
-23.980814,0.000000,935.251770,222.222229,-355.555542,-417.500000,-1.470073,-0.280014,0.000000,38
-59.952034,11.990407,899.280518,220.000000,-348.888885,-417.500000,-2.240112,-0.630032,-0.280014,39
-23.980814,0.000000,863.309326,220.000000,-357.777771,-410.000000,-1.820091,-0.770038,0.070004,40
-35.971222,0.000000,863.309326,226.666672,-346.666656,-417.500000,-2.240112,-1.190060,-0.070004,41
-23.980814,0.000000,887.290100,222.222229,-355.555542,-410.000000,-2.450123,-0.980049,0.490025,42
-59.952034,-11.990407,923.261353,224.444443,-348.888885,-415.000000,-4.060203,-1.540077,0.770038,43
-95.923256,0.000000,887.290100,222.222229,-355.555542,-412.500000,-4.550228,-1.610080,0.910046,44
-47.961628,23.980814,887.290100,224.444443,-344.444458,-417.500000,-4.200210,-1.610080,0.980049,45
-119.904068,23.980814,863.309326,222.222229,-355.555542,-410.000000,-4.060203,-1.120056,2.170109,46
-71.942444,11.990407,899.280518,220.000000,-353.333344,-410.000000,-5.530277,-1.890095,3.080154,47
23.980814,-47.961628,887.290100,222.222229,-355.555542,-412.500000,-1.960098,-0.910046,0.000000,48
-11.990407,11.990407,899.280518,224.444443,-351.111115,-417.500000,-2.380119,-0.840042,-0.700035,49
-23.980814,-23.980814,863.309326,217.777771,-357.777771,-410.000000,-2.590130,-1.610080,-0.560028,50
-11.990407,-11.990407,899.280518,224.444443,-355.555542,-420.000000,-3.430171,-1.610080,-0.700035,51
-47.961628,-23.980814,887.290100,222.222229,-355.555542,-412.500000,-3.920196,-2.170109,-0.350018,52
-23.980814,-11.990407,899.280518,224.444443,-348.888885,-422.500000,-4.900245,-2.100105,0.280014,53
-23.980814,47.961628,911.270935,222.222229,-355.555542,-410.000000,-5.600280,-2.800140,0.280014,54
-23.980814,35.971222,911.270935,220.000000,-348.888885,-417.500000,-6.790339,-2.800140,1.330067,55
-47.961628,23.980814,911.270935,220.000000,-353.333344,-417.500000,-6.930346,-3.640182,1.750087,56
-47.961628,23.980814,875.299744,220.000000,-348.888885,-420.000000,-7.000350,-4.270214,2.800140,57
-359.712219,599.520386,1031.175049,220.000000,-357.777771,-412.500000,-7.280364,-4.970249,7.280364,58
-83.932854,0.000000,863.309326,222.222229,-353.333344,-420.000000,-1.260063,-6.020301,35.421772,59
-23.980814,119.904068,935.251770,220.000000,-357.777771,-415.000000,-8.540427,-7.000350,14.910746,60
0.000000,83.932854,911.270935,220.000000,-357.777771,-417.500000,-3.220161,-3.570179,12.530626,61
-23.980814,-23.980814,911.270935,217.777771,-360.000000,-415.000000,-1.540077,-2.800140,10.710536,62
0.000000,-11.990407,911.270935,220.000000,-351.111115,-415.000000,-2.590130,-2.730137,1.400070,63
-23.980814,0.000000,911.270935,220.000000,-351.111115,-415.000000,-0.700035,-1.540077,-0.700035,64
-59.952034,23.980814,875.299744,222.222229,-348.888885,-420.000000,-0.070004,-0.560028,-1.890095,65
-71.942444,23.980814,887.290100,217.777771,-362.222229,-410.000000,0.210010,-1.190060,-1.960098,66
-35.971222,23.980814,875.299744,217.777771,-353.333344,-415.000000,0.420021,-0.350018,-2.170109,67
-47.961628,23.980814,911.270935,217.777771,-357.777771,-410.000000,0.350018,-0.700035,-1.820091,68
0.000000,11.990407,875.299744,220.000000,-355.555542,-412.500000,0.140007,-1.190060,-2.310116,69
-47.961628,0.000000,887.290100,217.777771,-360.000000,-410.000000,2.730137,0.000000,-2.660133,70
-47.961628,0.000000,911.270935,217.777771,-351.111115,-415.000000,1.470073,-0.700035,-2.660133,71
-47.961628,23.980814,935.251770,220.000000,-355.555542,-412.500000,0.700035,-0.980049,-2.730137,72
-35.971222,23.980814,947.242188,220.000000,-357.777771,-412.500000,-0.140007,-1.610080,-2.310116,73
119.904068,143.884888,815.347656,220.000000,-360.000000,-415.000000,1.470073,-1.540077,-3.150157,74
-11.990407,35.971222,875.299744,222.222229,-353.333344,-415.000000,4.690235,0.140007,-2.730137,75
-23.980814,0.000000,863.309326,220.000000,-360.000000,-412.500000,1.190060,-0.910046,-2.590130,76
-59.952034,23.980814,911.270935,222.222229,-351.111115,-420.000000,1.890095,-0.280014,-2.590130,77
23.980814,23.980814,839.328491,217.777771,-357.777771,-410.000000,0.350018,-1.120056,-1.960098,78
0.000000,11.990407,863.309326,222.222229,-348.888885,-415.000000,6.580329,1.540077,-2.800140,79
-95.923256,0.000000,911.270935,222.222229,-355.555542,-410.000000,8.120406,1.750087,-3.360168,80
-95.923256,11.990407,911.270935,220.000000,-355.555542,-412.500000,7.560378,1.050053,-3.780189,81
-71.942444,0.000000,887.290100,220.000000,-357.777771,-410.000000,7.070354,1.330067,-3.710186,82
-23.980814,0.000000,947.242188,224.444443,-355.555542,-412.500000,6.230311,0.910046,-4.060203,83
-23.980814,23.980814,863.309326,222.222229,-357.777771,-412.500000,5.180259,0.840042,-3.920196,84
-47.961628,11.990407,863.309326,226.666672,-346.666656,-415.000000,3.920196,0.210010,-4.060203,85
-23.980814,0.000000,911.270935,220.000000,-355.555542,-412.500000,3.010150,-0.210010,-3.500175,86
-47.961628,-11.990407,923.261353,224.444443,-348.888885,-415.000000,1.960098,-0.560028,-3.500175,87
