ACC_X,ACC_Y,ACC_Z,MAG_X,MAG_Y,MAG_Z, GYRO_Y,GYRO_X,GYRO_Z,COUNT
-59.952034,1043.165405,-131.894485,211.111115,-508.888885,180.000000,-2.030102,-2.520126,-1.680084,0
-95.923256,1055.155884,-143.884888,211.111115,-504.444458,182.500000,-0.420021,-0.140007,-2.450123,1
-83.932854,1079.136597,-95.923256,208.888885,-506.666656,187.500000,0.210010,1.610080,-3.430171,2
-119.904068,983.213379,-95.923256,211.111115,-500.000000,180.000000,-0.560028,2.170109,-2.380119,3
-95.923256,1019.184631,-83.932854,211.111115,-504.444458,182.500000,-0.350018,2.870144,-1.330067,4
-23.980814,1055.155884,-71.942444,208.888885,-504.444458,180.000000,-0.560028,2.450123,-0.490025,5
-47.961628,1043.165405,-71.942444,206.666672,-508.888885,187.500000,-0.420021,2.590130,-0.420021,6
95.923256,1007.194214,-71.942444,208.888885,-502.222229,182.500000,-0.210010,2.450123,-0.560028,7
-35.971222,1031.175049,-71.942444,208.888885,-508.888885,185.000000,0.210010,2.310116,-0.770038,8
-119.904068,983.213379,-95.923256,213.333328,-500.000000,182.500000,-0.140007,1.400070,-1.750087,9
-95.923256,983.213379,-35.971222,206.666672,-511.111115,187.500000,-0.140007,0.280014,-2.240112,10
-47.961628,1031.175049,-119.904068,208.888885,-500.000000,177.500000,-0.630032,-2.030102,-0.840042,11
-71.942444,1031.175049,-83.932854,208.888885,-504.444458,185.000000,-0.420021,-2.800140,-0.350018,12
-47.961628,1007.194214,-95.923256,213.333328,-506.666656,185.000000,-1.050053,-3.010150,-0.980049,13
-59.952034,1031.175049,-95.923256,206.666672,-508.888885,185.000000,-1.540077,-2.660133,-0.770038,14
-95.923256,1079.136597,-143.884888,208.888885,-500.000000,182.500000,-1.470073,-1.400070,-1.120056,15
-107.913666,1055.155884,-95.923256,202.222229,-506.666656,185.000000,-1.260063,0.350018,-0.910046,16
-119.904068,1079.136597,-119.904068,206.666672,-506.666656,185.000000,-0.700035,2.240112,0.630032,17
-107.913666,1079.136597,-71.942444,208.888885,-508.888885,187.500000,-0.560028,3.570179,2.240112,18
-71.942444,1055.155884,-47.961628,211.111115,-500.000000,180.000000,-1.120056,4.480224,2.940147,19
-59.952034,1043.165405,-83.932854,211.111115,-506.666656,182.500000,-1.470073,4.690235,4.340217,20
-47.961628,1031.175049,-95.923256,206.666672,-508.888885,180.000000,-1.260063,5.110256,5.180259,21
-95.923256,1043.165405,-71.942444,204.444443,-511.111115,185.000000,-1.260063,5.110256,5.600280,22
-23.980814,1031.175049,-95.923256,211.111115,-504.444458,185.000000,-0.630032,4.690235,5.460273,23
-23.980814,995.203796,-107.913666,206.666672,-511.111115,182.500000,-0.350018,3.710186,5.740287,24
23.980814,959.232544,-95.923256,211.111115,-500.000000,182.500000,-0.420021,2.590130,4.620231,25
-59.952034,983.213379,-71.942444,202.222229,-508.888885,185.000000,0.140007,2.450123,2.380119,26
-23.980814,983.213379,-95.923256,208.888885,-506.666656,175.000000,0.490025,1.610080,0.070004,27
-71.942444,1031.175049,-95.923256,208.888885,-513.333313,182.500000,0.770038,1.190060,-1.610080,28
-95.923256,983.213379,-95.923256,204.444443,-506.666656,182.500000,1.120056,0.490025,-2.240112,29
-95.923256,1007.194214,-83.932854,206.666672,-506.666656,185.000000,0.770038,0.070004,-2.660133,30
-95.923256,1055.155884,-23.980814,206.666672,-502.222229,177.500000,0.630032,0.280014,-2.870144,31
-71.942444,1043.165405,-47.961628,204.444443,-511.111115,185.000000,0.560028,-0.210010,-2.660133,32
-47.961628,1007.194214,-47.961628,208.888885,-504.444458,182.500000,0.560028,-0.980049,-2.520126,33
-59.952034,1055.155884,-59.952034,206.666672,-506.666656,182.500000,1.120056,-1.610080,-2.590130,34
-47.961628,1007.194214,-71.942444,208.888885,-504.444458,182.500000,0.910046,-1.680084,-3.080154,35
-71.942444,1031.175049,-95.923256,206.666672,-506.666656,185.000000,0.420021,-2.100105,-1.960098,36
0.000000,1031.175049,-167.865707,206.666672,-504.444458,182.500000,0.630032,-2.730137,-1.680084,37
-47.961628,1043.165405,-107.913666,208.888885,-506.666656,177.500000,-0.070004,-2.170109,-1.400070,38
-71.942444,1007.194214,-47.961628,211.111115,-502.222229,180.000000,-0.560028,-2.870144,-0.910046,39
-47.961628,1019.184631,-59.952034,206.666672,-506.666656,185.000000,-0.910046,-3.500175,-0.490025,40
-71.942444,1007.194214,-95.923256,208.888885,-504.444458,177.500000,-2.310116,-3.850193,-0.070004,41
-95.923256,995.203796,-83.932854,204.444443,-508.888885,187.500000,-2.730137,-3.850193,0.070004,42
-71.942444,1031.175049,-95.923256,211.111115,-506.666656,180.000000,-2.730137,-3.710186,0.350018,43
-59.952034,1007.194214,-107.913666,204.444443,-506.666656,187.500000,-2.800140,-2.800140,0.980049,44
-95.923256,1031.175049,0.000000,208.888885,-500.000000,180.000000,-2.590130,-2.590130,1.260063,45
-95.923256,1031.175049,-95.923256,211.111115,-508.888885,177.500000,-1.890095,-1.680084,0.420021,46
-119.904068,1007.194214,-119.904068,206.666672,-506.666656,185.000000,-2.100105,-0.350018,-1.330067,47
-83.932854,1043.165405,-131.894485,206.666672,-508.888885,185.000000,-1.960098,0.980049,-1.120056,48
-47.961628,983.213379,-95.923256,211.111115,-500.000000,180.000000,-1.470073,1.820091,0.140007,49
-59.952034,1019.184631,-83.932854,206.666672,-508.888885,187.500000,-1.330067,2.450123,-0.140007,50
-71.942444,1103.117432,-95.923256,206.666672,-504.444458,180.000000,-1.260063,2.030102,0.280014,51
-107.913666,1067.146240,-107.913666,206.666672,-511.111115,182.500000,-1.120056,1.120056,0.070004,52
-71.942444,1007.194214,-119.904068,213.333328,-502.222229,185.000000,-0.770038,1.540077,-0.280014,53
-71.942444,1007.194214,-107.913666,208.888885,-506.666656,187.500000,-0.910046,1.190060,-0.560028,54
-47.961628,1031.175049,-47.961628,206.666672,-506.666656,185.000000,-0.700035,0.560028,-0.560028,55
-47.961628,1007.194214,-95.923256,204.444443,-508.888885,185.000000,-1.050053,0.350018,-1.120056,56
-71.942444,1007.194214,-95.923256,206.666672,-504.444458,182.500000,-1.260063,0.140007,-0.700035,57
-47.961628,1007.194214,-71.942444,206.666672,-513.333313,185.000000,-1.610080,-0.210010,0.280014,58
-95.923256,1007.194214,-119.904068,208.888885,-504.444458,182.500000,-1.890095,0.140007,0.350018,59
-107.913666,1031.175049,-131.894485,211.111115,-508.888885,185.000000,-1.960098,0.280014,-0.560028,60
-23.980814,1055.155884,-95.923256,208.888885,-502.222229,177.500000,-1.820091,1.400070,-1.260063,61
-59.952034,1031.175049,-59.952034,208.888885,-508.888885,187.500000,-1.540077,1.750087,-2.100105,62
-23.980814,1007.194214,-119.904068,211.111115,-504.444458,185.000000,-1.330067,2.100105,-2.450123,63
-71.942444,1019.184631,-131.894485,211.111115,-511.111115,182.500000,-1.050053,2.660133,-2.520126,64
-47.961628,1031.175049,-119.904068,208.888885,-506.666656,180.000000,-0.700035,2.590130,-2.660133,65
-47.961628,1019.184631,-119.904068,211.111115,-508.888885,185.000000,-0.140007,2.730137,-2.870144,66
-47.961628,983.213379,-119.904068,208.888885,-502.222229,180.000000,0.210010,2.730137,-2.730137,67
-59.952034,1031.175049,-107.913666,206.666672,-506.666656,182.500000,0.420021,2.310116,-2.940147,68
-47.961628,1031.175049,-71.942444,208.888885,-504.444458,182.500000,0.350018,2.030102,-3.640182,69
-59.952034,1007.194214,-47.961628,206.666672,-511.111115,185.000000,-0.140007,0.210010,-4.060203,70
-95.923256,1031.175049,-71.942444,211.111115,-500.000000,182.500000,-0.630032,-0.280014,-4.270214,71
-83.932854,1019.184631,-71.942444,208.888885,-502.222229,182.500000,-0.910046,-0.910046,-4.130207,72
