ACC_X,ACC_Y,ACC_Z,MAG_X,MAG_Y,MAG_Z, GYRO_X,GYRO_Y,GYRO_Z,COUNT
0.000000,35.971222,1055.155884,-137.777771,55.555557,-442.500000,-7.070354,-0.840042,-0.910046,0
-71.942444,0.000000,1055.155884,-137.777771,73.333336,-435.000000,-6.300315,-1.120056,-0.840042,1
-23.980814,23.980814,1031.175049,-137.777771,60.000000,-435.000000,-5.810291,-0.350018,-1.610080,2
-11.990407,59.952034,1067.146240,-137.777771,68.888885,-435.000000,-7.000350,-0.350018,-1.120056,3
23.980814,11.990407,1055.155884,-140.000000,60.000000,-440.000000,-7.630382,0.140007,-0.910046,4
-23.980814,0.000000,1007.194214,-137.777771,73.333336,-432.500000,-8.540427,1.260063,-0.980049,5
-11.990407,0.000000,1031.175049,-137.777771,64.444443,-437.500000,-8.960448,1.750087,-0.210010,6
0.000000,0.000000,1055.155884,-137.777771,75.555557,-435.000000,-9.590480,1.890095,-0.560028,7
-11.990407,23.980814,1043.165405,-140.000000,62.222221,-437.500000,-9.730487,2.100105,-0.490025,8
0.000000,0.000000,1055.155884,-137.777771,68.888885,-440.000000,-9.660483,1.820091,-0.630032,9
-11.990407,0.000000,1055.155884,-142.222229,60.000000,-435.000000,-8.680434,1.750087,-0.420021,10
0.000000,23.980814,1055.155884,-140.000000,75.555557,-440.000000,-9.030452,1.050053,-0.980049,11
0.000000,-11.990407,1043.165405,-137.777771,57.777779,-437.500000,-7.770389,1.540077,0.140007,12
23.980814,-23.980814,1055.155884,-137.777771,68.888885,-442.500000,-6.230311,1.120056,0.000000,13
11.990407,11.990407,1055.155884,-135.555557,64.444443,-435.000000,-5.600280,0.280014,-0.490025,14
0.000000,-23.980814,1055.155884,-137.777771,71.111115,-432.500000,-5.740287,-0.210010,-0.070004,15
0.000000,11.990407,1043.165405,-140.000000,62.222221,-437.500000,-5.460273,-1.260063,-0.700035,16
0.000000,23.980814,1031.175049,-137.777771,71.111115,-437.500000,-5.530277,-0.560028,-0.350018,17
0.000000,23.980814,1067.146240,-137.777771,60.000000,-440.000000,-5.250263,-0.280014,-0.560028,18
-23.980814,0.000000,1031.175049,-137.777771,73.333336,-435.000000,-5.950297,-0.140007,-0.770038,19
-11.990407,23.980814,1031.175049,-135.555557,60.000000,-435.000000,-6.860343,-0.490025,-1.050053,20
-23.980814,47.961628,1031.175049,-137.777771,66.666664,-437.500000,-6.580329,-0.280014,-0.280014,21
-23.980814,11.990407,1055.155884,-142.222229,62.222221,-440.000000,-6.720336,-0.140007,-0.140007,22
-23.980814,23.980814,1055.155884,-135.555557,73.333336,-437.500000,-6.370318,-0.700035,-0.420021,23
0.000000,11.990407,1043.165405,-137.777771,60.000000,-437.500000,-7.000350,-0.840042,-0.350018,24
-23.980814,0.000000,1055.155884,-133.333328,71.111115,-435.000000,-6.930346,-0.280014,-0.770038,25
-23.980814,0.000000,1055.155884,-137.777771,62.222221,-437.500000,-6.580329,-0.210010,0.140007,26
-23.980814,0.000000,1031.175049,-137.777771,71.111115,-435.000000,-7.000350,0.140007,-0.630032,27
-23.980814,47.961628,1043.165405,-140.000000,68.888885,-437.500000,-7.700385,-0.420021,-0.420021,28
23.980814,0.000000,1055.155884,-140.000000,71.111115,-432.500000,-7.840392,-0.210010,-0.980049,29
-23.980814,0.000000,1055.155884,-140.000000,60.000000,-437.500000,-7.560378,0.140007,-1.050053,30
-23.980814,-23.980814,1055.155884,-135.555557,77.777779,-440.000000,-9.030452,0.560028,-0.700035,31
-11.990407,0.000000,1079.136597,-135.555557,60.000000,-435.000000,-8.820441,0.420021,-0.840042,32
-47.961628,23.980814,1007.194214,-137.777771,77.777779,-440.000000,-9.450473,-0.070004,-0.840042,33
11.990407,35.971222,1031.175049,-140.000000,60.000000,-437.500000,-9.030452,0.000000,-0.980049,34
0.000000,-23.980814,1031.175049,-140.000000,75.555557,-435.000000,-8.750438,-0.070004,-0.910046,35
-35.971222,23.980814,1043.165405,-137.777771,66.666664,-437.500000,-8.120406,0.490025,-0.210010,36
-35.971222,47.961628,1055.155884,-135.555557,73.333336,-432.500000,-7.560378,0.280014,-0.980049,37
-35.971222,-23.980814,1043.165405,-140.000000,62.222221,-437.500000,-7.140357,0.350018,-0.700035,38
47.961628,0.000000,1055.155884,-135.555557,66.666664,-435.000000,-7.000350,0.280014,0.140007,39
0.000000,11.990407,1055.155884,-137.777771,62.222221,-440.000000,-7.070354,-0.350018,-0.630032,40
-71.942444,23.980814,1055.155884,-135.555557,68.888885,-432.500000,-6.440322,-0.490025,-0.770038,41
-23.980814,11.990407,1031.175049,-140.000000,60.000000,-440.000000,-5.950297,0.070004,-0.560028,42
0.000000,0.000000,1031.175049,-140.000000,64.444443,-440.000000,-5.670284,0.210010,0.000000,43
0.000000,11.990407,1043.165405,-137.777771,62.222221,-437.500000,-6.440322,-0.350018,-0.630032,44
0.000000,0.000000,1031.175049,-135.555557,73.333336,-440.000000,-7.420371,0.070004,-1.050053,45
