ACC_X,ACC_Y,ACC_Z,MAG_X,MAG_Y,MAG_Z, GYRO_Y,GYRO_X,GYRO_Z,COUNT
971.222961,71.942444,-119.904068,-342.222229,-357.777771,-195.000000,-0.280014,-1.540077,-3.780189,0
959.232544,23.980814,-119.904068,-342.222229,-364.444458,-187.500000,0.210010,-1.890095,-1.400070,1
983.213379,11.990407,-83.932854,-337.777771,-357.777771,-190.000000,-0.420021,-1.680084,-0.910046,2
959.232544,47.961628,-95.923256,-340.000000,-362.222229,-190.000000,-1.680084,-0.840042,-0.560028,3
947.242188,47.961628,-107.913666,-340.000000,-357.777771,-190.000000,-2.240112,-0.420021,-0.280014,4
959.232544,23.980814,-167.865707,-344.444458,-366.666656,-190.000000,-3.500175,-0.350018,-0.140007,5
971.222961,47.961628,-131.894485,-337.777771,-362.222229,-192.500000,-3.920196,-0.140007,-0.420021,6
959.232544,71.942444,-95.923256,-342.222229,-368.888885,-187.500000,-3.500175,-0.280014,-0.070004,7
947.242188,47.961628,-107.913666,-337.777771,-357.777771,-190.000000,-2.940147,-0.630032,-0.070004,8
959.232544,0.000000,-95.923256,-342.222229,-366.666656,-190.000000,-2.730137,-0.630032,-0.910046,9
959.232544,23.980814,-107.913666,-342.222229,-360.000000,-192.500000,-1.470073,-1.190060,-0.840042,10
983.213379,23.980814,-119.904068,-342.222229,-366.666656,-187.500000,-1.260063,-1.190060,-0.910046,11
947.242188,35.971222,-131.894485,-340.000000,-362.222229,-190.000000,-0.280014,-1.260063,-1.190060,12
1031.175049,47.961628,-119.904068,-340.000000,-362.222229,-187.500000,-0.070004,-1.120056,-0.840042,13
995.203796,35.971222,-119.904068,-337.777771,-360.000000,-195.000000,-0.210010,-1.400070,-0.490025,14
959.232544,47.961628,-71.942444,-346.666656,-368.888885,-190.000000,-0.490025,-1.050053,-0.840042,15
959.232544,35.971222,-107.913666,-340.000000,-357.777771,-195.000000,-1.540077,-0.910046,-0.070004,16
983.213379,47.961628,-143.884888,-344.444458,-366.666656,-187.500000,-3.780189,-0.980049,-0.280014,17
959.232544,47.961628,-95.923256,-342.222229,-360.000000,-190.000000,-4.970249,-0.490025,-0.210010,18
983.213379,0.000000,-119.904068,-340.000000,-366.666656,-190.000000,-6.300315,-1.260063,0.140007,19
983.213379,0.000000,-95.923256,-340.000000,-360.000000,-192.500000,-6.720336,-1.120056,0.420021,20
959.232544,0.000000,-119.904068,-340.000000,-362.222229,-190.000000,-8.260413,-1.050053,0.980049,21
947.242188,11.990407,-95.923256,-340.000000,-357.777771,-192.500000,-8.050403,-0.910046,1.120056,22
1007.194214,0.000000,-167.865707,-342.222229,-364.444458,-187.500000,-8.190410,-0.840042,0.350018,23
959.232544,23.980814,-143.884888,-335.555542,-357.777771,-190.000000,-8.330417,-0.910046,-0.210010,24
959.232544,71.942444,-71.942444,-344.444458,-366.666656,-187.500000,-7.630382,-0.700035,0.000000,25
959.232544,59.952034,-131.894485,-340.000000,-360.000000,-190.000000,-7.280364,-0.770038,-0.210010,26
935.251770,0.000000,-119.904068,-344.444458,-362.222229,-185.000000,-6.090304,-0.980049,-0.630032,27
959.232544,23.980814,-167.865707,-340.000000,-364.444458,-190.000000,-4.130207,-0.420021,-0.840042,28
959.232544,23.980814,-143.884888,-342.222229,-357.777771,-190.000000,-1.540077,-0.700035,-1.190060,29
983.213379,35.971222,-119.904068,-346.666656,-355.555542,-192.500000,0.350018,0.070004,-1.050053,30
959.232544,23.980814,-143.884888,-344.444458,-364.444458,-187.500000,0.630032,-0.140007,-1.120056,31
