ACC_X,ACC_Y,ACC_Z,MAG_X,MAG_Y,MAG_Z,GYRO_Y,GYRO_X,GYRO_Z,COUNT
-35.971222,35.971222,923.261353,211.111115,-362.222229,-387.500000,-1.610080,-0.350018,-0.560028,0
-71.942444,-23.980814,935.251770,215.555557,-351.111115,-392.500000,-1.610080,-0.700035,-0.420021,1
-47.961628,11.990407,959.232544,213.333328,-357.777771,-390.000000,-0.980049,-0.070004,0.070004,2
-23.980814,47.961628,935.251770,211.111115,-355.555542,-395.000000,-1.190060,-0.700035,-1.330067,3
-23.980814,47.961628,911.270935,208.888885,-357.777771,-390.000000,-0.910046,-0.630032,-0.980049,4
-71.942444,23.980814,911.270935,215.555557,-353.333344,-395.000000,-0.910046,-0.210010,-0.070004,5
-83.932854,11.990407,923.261353,213.333328,-355.555542,-387.500000,-0.980049,-0.350018,-0.840042,6
-47.961628,0.000000,887.290100,211.111115,-351.111115,-392.500000,-1.330067,-0.420021,-0.560028,7
-59.952034,0.000000,899.280518,213.333328,-360.000000,-387.500000,-1.120056,-0.700035,-0.560028,8
-23.980814,23.980814,887.290100,215.555557,-351.111115,-392.500000,-1.610080,-0.490025,-0.980049,9
-47.961628,23.980814,875.299744,208.888885,-357.777771,-387.500000,-0.980049,-0.140007,-0.770038,10
-47.961628,23.980814,863.309326,213.333328,-355.555542,-395.000000,-1.330067,-0.280014,-1.400070,11
-23.980814,11.990407,863.309326,211.111115,-357.777771,-385.000000,-1.400070,-0.210010,-1.190060,12
0.000000,23.980814,911.270935,213.333328,-355.555542,-392.500000,-1.680084,-0.910046,-0.770038,13
-23.980814,23.980814,911.270935,213.333328,-360.000000,-392.500000,-1.400070,-0.210010,-1.190060,14
-71.942444,23.980814,959.232544,213.333328,-355.555542,-395.000000,-1.400070,-0.490025,-1.050053,15
-47.961628,23.980814,899.280518,211.111115,-357.777771,-387.500000,-1.680084,-0.140007,-1.470073,16
-47.961628,0.000000,911.270935,215.555557,-351.111115,-392.500000,-1.400070,0.140007,-1.260063,17
-35.971222,23.980814,911.270935,213.333328,-357.777771,-390.000000,-1.190060,0.350018,-1.120056,18
0.000000,47.961628,887.290100,213.333328,-353.333344,-392.500000,-1.330067,0.350018,-1.330067,19
-35.971222,35.971222,887.290100,208.888885,-364.444458,-390.000000,-1.260063,0.000000,-1.400070,20
-71.942444,0.000000,911.270935,213.333328,-353.333344,-395.000000,-1.470073,-0.420021,-1.750087,21
-71.942444,-11.990407,887.290100,213.333328,-355.555542,-390.000000,-1.330067,0.070004,-0.420021,22
-71.942444,23.980814,863.309326,211.111115,-351.111115,-390.000000,-1.260063,-0.560028,0.070004,23
-59.952034,23.980814,887.290100,211.111115,-355.555542,-387.500000,-0.560028,-0.630032,0.420021,24
-23.980814,23.980814,863.309326,213.333328,-353.333344,-392.500000,-1.050053,-0.630032,-0.140007,25
-35.971222,35.971222,839.328491,208.888885,-360.000000,-387.500000,-1.470073,-0.420021,0.210010,26
-23.980814,0.000000,839.328491,211.111115,-355.555542,-392.500000,-1.400070,-0.840042,0.420021,27
-59.952034,11.990407,875.299744,213.333328,-357.777771,-390.000000,-1.750087,-0.770038,-0.210010,28
-23.980814,0.000000,887.290100,211.111115,-351.111115,-395.000000,-2.100105,-0.840042,-0.420021,29
-47.961628,11.990407,887.290100,213.333328,-357.777771,-390.000000,-1.330067,-0.420021,0.070004,30
0.000000,23.980814,863.309326,211.111115,-357.777771,-392.500000,-1.120056,0.070004,-0.490025,31
-23.980814,35.971222,899.280518,215.555557,-355.555542,-392.500000,-1.610080,0.000000,-0.070004,32
0.000000,0.000000,959.232544,213.333328,-351.111115,-390.000000,-1.470073,-0.070004,-0.980049,33
-35.971222,11.990407,935.251770,211.111115,-362.222229,-390.000000,-1.470073,0.210010,-1.050053,34
-71.942444,23.980814,911.270935,211.111115,-355.555542,-392.500000,-1.190060,-0.070004,-1.190060,35
-59.952034,23.980814,911.270935,211.111115,-355.555542,-390.000000,-1.120056,-0.280014,-0.980049,36
-47.961628,0.000000,911.270935,213.333328,-357.777771,-395.000000,-0.770038,-0.490025,-0.840042,37
-47.961628,0.000000,911.270935,208.888885,-364.444458,-387.500000,-0.770038,-0.070004,-0.420021,38
-47.961628,47.961628,839.328491,213.333328,-353.333344,-390.000000,-1.190060,-0.280014,-0.630032,39
-47.961628,35.971222,875.299744,213.333328,-355.555542,-387.500000,-0.980049,-0.350018,0.490025,40
-47.961628,0.000000,863.309326,215.555557,-355.555542,-390.000000,-1.120056,-0.560028,-0.350018,41
-47.961628,35.971222,875.299744,211.111115,-362.222229,-392.500000,-0.910046,-1.050053,-0.070004,42
-71.942444,47.961628,887.290100,211.111115,-353.333344,-397.500000,-0.630032,-0.630032,0.070004,43
-59.952034,11.990407,863.309326,204.444443,-360.000000,-387.500000,-0.980049,-0.980049,0.560028,44
-71.942444,23.980814,839.328491,208.888885,-351.111115,-392.500000,-0.700035,-0.700035,0.490025,45
-35.971222,23.980814,875.299744,211.111115,-360.000000,-385.000000,-0.490025,-0.210010,0.420021,46
0.000000,0.000000,887.290100,211.111115,-355.555542,-390.000000,-1.330067,-0.350018,-0.070004,47
-23.980814,0.000000,899.280518,211.111115,-353.333344,-390.000000,-1.120056,0.070004,-0.700035,48
-71.942444,71.942444,935.251770,211.111115,-351.111115,-392.500000,-1.190060,-0.070004,-0.070004,49
-23.980814,0.000000,911.270935,208.888885,-360.000000,-390.000000,-0.980049,-0.140007,-0.560028,50
-47.961628,11.990407,899.280518,215.555557,-355.555542,-395.000000,-1.470073,-0.140007,-0.980049,51
-47.961628,0.000000,935.251770,208.888885,-357.777771,-385.000000,-1.330067,-0.070004,0.000000,52
-59.952034,23.980814,911.270935,213.333328,-355.555542,-395.000000,-1.050053,0.000000,-0.490025,53
-95.923256,23.980814,887.290100,208.888885,-357.777771,-387.500000,-0.910046,-0.210010,-0.070004,54
-59.952034,23.980814,899.280518,217.777771,-353.333344,-395.000000,-0.980049,-0.770038,0.070004,55
-47.961628,0.000000,887.290100,213.333328,-355.555542,-392.500000,-1.260063,-0.560028,0.560028,56
-47.961628,23.980814,911.270935,213.333328,-357.777771,-392.500000,-1.260063,-0.420021,0.350018,57
0.000000,23.980814,863.309326,208.888885,-362.222229,-385.000000,-1.260063,-0.560028,-0.140007,58
