ACC_X,ACC_Y,ACC_Z,MAG_X,MAG_Y,MAG_Z, GYRO_Y,GYRO_X,GYRO_Z,COUNT
-47.961628,0.000000,911.270935,233.333328,-353.333344,-412.500000,-3.920196,-1.750087,0.070004,0
-47.961628,23.980814,911.270935,231.111115,-346.666656,-410.000000,-4.340217,-1.890095,0.840042,1
-35.971222,23.980814,899.280518,228.888885,-351.111115,-407.500000,-3.920196,-2.590130,0.840042,2
-23.980814,0.000000,911.270935,233.333328,-346.666656,-415.000000,-4.480224,-2.450123,1.260063,3
-11.990407,23.980814,899.280518,226.666672,-355.555542,-410.000000,-4.270214,-2.310116,1.820091,4
-71.942444,23.980814,923.261353,235.555557,-344.444458,-417.500000,-4.900245,-2.590130,1.680084,5
-23.980814,0.000000,911.270935,231.111115,-351.111115,-410.000000,-4.970249,-2.450123,1.820091,6
-23.980814,35.971222,887.290100,228.888885,-342.222229,-415.000000,-4.970249,-3.080154,2.100105,7
-71.942444,47.961628,887.290100,226.666672,-348.888885,-410.000000,-4.830242,-2.800140,2.450123,8
-83.932854,11.990407,899.280518,231.111115,-348.888885,-415.000000,-5.530277,-3.080154,2.590130,9
-71.942444,23.980814,863.309326,228.888885,-351.111115,-412.500000,-5.600280,-3.150157,2.870144,10
-35.971222,47.961628,911.270935,231.111115,-351.111115,-417.500000,-5.810291,-3.360168,3.360168,11
-167.865707,47.961628,935.251770,228.888885,-351.111115,-410.000000,-5.810291,-3.080154,3.850193,12
-95.923256,0.000000,947.242188,228.888885,-348.888885,-415.000000,-4.690235,-0.560028,11.270564,13
0.000000,23.980814,863.309326,226.666672,-357.777771,-410.000000,-7.070354,-2.800140,5.810291,14
-11.990407,23.980814,887.290100,231.111115,-351.111115,-410.000000,-7.000350,-2.660133,6.020301,15
-23.980814,0.000000,935.251770,226.666672,-346.666656,-407.500000,-7.000350,-2.660133,5.950297,16
-47.961628,11.990407,923.261353,228.888885,-346.666656,-412.500000,-7.560378,-2.800140,5.600280,17
191.846512,239.808136,887.290100,224.444443,-355.555542,-410.000000,-9.240462,-5.320266,7.840392,18
-71.942444,59.952034,887.290100,224.444443,-348.888885,-415.000000,-7.980399,-3.220161,17.850893,19
-95.923256,-23.980814,863.309326,222.222229,-357.777771,-407.500000,-10.220511,-3.850193,12.880644,20
-35.971222,0.000000,887.290100,226.666672,-346.666656,-415.000000,-10.500525,-3.500175,11.620582,21
-71.942444,23.980814,863.309326,224.444443,-355.555542,-410.000000,-9.170459,-2.380119,9.730487,22
-47.961628,0.000000,875.299744,224.444443,-351.111115,-420.000000,-7.910396,-2.520126,6.230311,23
-143.884888,455.635468,935.251770,222.222229,-351.111115,-410.000000,-6.860343,-2.870144,5.530277,24
-35.971222,95.923256,899.280518,224.444443,-346.666656,-410.000000,-6.160308,-2.800140,12.110605,25
0.000000,0.000000,911.270935,224.444443,-357.777771,-410.000000,-5.600280,-3.640182,17.150858,26
-35.971222,0.000000,899.280518,224.444443,-348.888885,-415.000000,-5.950297,-3.080154,17.360868,27
0.000000,23.980814,911.270935,220.000000,-357.777771,-412.500000,-7.000350,-3.430171,13.650682,28
-35.971222,-47.961628,923.261353,226.666672,-351.111115,-417.500000,-5.740287,-2.030102,8.960448,29
-23.980814,0.000000,887.290100,222.222229,-351.111115,-410.000000,-4.340217,-1.960098,4.270214,30
-35.971222,11.990407,875.299744,224.444443,-348.888885,-412.500000,-2.170109,-1.470073,2.590130,31
-23.980814,0.000000,911.270935,220.000000,-351.111115,-415.000000,-0.490025,-0.420021,1.400070,32
